datetime	do
2020-01-19 04:30	5.85850
2020-01-19 05:00	5.96800
2020-01-19 05:30	5.92600
2020-01-19 06:00	5.79400
2020-01-19 06:30	5.69000
2020-01-19 07:00	5.59900
2020-01-19 07:30	5.65300
2020-01-19 08:00	5.69600
2020-01-19 08:30	5.68200
2020-01-19 09:00	5.67100
2020-01-19 09:30	5.77800
2020-01-19 10:00	5.69100
2020-01-19 10:30	5.81500
2020-01-19 11:00	5.65900
2020-01-19 11:30	5.63400
2020-01-19 12:00	5.62733
2020-01-19 12:30	5.62067
2020-01-19 13:00	5.38600
2020-01-19 13:30	5.59400
2020-01-19 14:00	5.59300
2020-01-19 14:30	5.45500
2020-01-19 15:00	5.60200
2020-01-19 15:30	5.70100
2020-01-19 16:00	5.50300
2020-01-19 16:30	5.80400
2020-01-19 17:00	5.86700
2020-01-19 17:30	6.05000
2020-01-19 18:00	5.70100
2020-01-19 18:30	5.96600
2020-01-19 19:00	5.73000
2020-01-19 19:30	5.64600
2020-01-19 20:00	5.51400
2020-01-19 20:30	5.59000
2020-01-19 21:00	5.60900
2020-01-19 21:30	5.59200
2020-01-19 22:00	5.46400
2020-01-19 22:30	5.53100
2020-01-19 23:00	5.57600
2020-01-19 23:30	5.59800
2020-01-20 00:00	5.73500
2020-01-20 00:30	5.68700
2020-01-20 01:00	5.51800
2020-01-20 01:30	5.45500
2020-01-20 02:00	5.36900
2020-01-20 02:30	5.41400
2020-01-20 03:00	5.40200
2020-01-20 03:30	5.33700
2020-01-20 04:00	5.17700
2020-01-20 04:30	5.07000
2020-01-20 05:00	5.03300
2020-01-20 05:30	5.07500
2020-01-20 06:00	5.04400
2020-01-20 06:30	4.98600
2020-01-20 07:00	5.06100
2020-01-20 07:30	5.06100
2020-01-20 08:00	5.07800
2020-01-20 08:30	5.06200
2020-01-20 09:00	5.07800
2020-01-20 09:30	5.04400
2020-01-20 10:00	5.07600
2020-01-20 10:30	5.11600
2020-01-20 11:00	5.14700
2020-01-20 11:30	5.22200
2020-01-20 12:00	5.41900
2020-01-20 12:30	5.65600
2020-01-20 13:00	5.95900
2020-01-20 13:30	5.66600
2020-01-20 14:00	5.93600
2020-01-20 14:30	6.18600
2020-01-20 15:00	6.33600
2020-01-20 15:30	6.21500
2020-01-20 16:00	6.47000
2020-01-20 16:30	6.14000
